feature,importance
yearsExperience,0.18176480235606793
jobType_70.81304462635332,0.15964203627596282
milesFromMetropolis,0.12661036604580778
major_102.58386446587133,0.09151062703995116
jobType_95.33308719660974,0.06770505882477112
jobType_145.31142509096154,0.057479013619855364
jobType_105.48777465325772,0.032933505062472106
industry_99.44838571898697,0.02931130012270851
industry_130.95386285634237,0.02198615146846447
industry_130.747658645164,0.021981741582863694
jobType_135.48106681594626,0.019872655247533705
jobType_135.45854674396352,0.018686669032647388
degree_98.17688186343428,0.01738908189188973
degree_135.49097866128352,0.016743679028378807
jobType_115.3685182225064,0.016283416534886103
industry_104.44682029458984,0.01591733477269111
jobType_125.3686299247808,0.010284160046324965
degree_101.92108450258466,0.009767495296520982
industry_109.43522152496485,0.007980923111673343
industry_121.6453615446388,0.007059875836829864
major_138.4413421169403,0.005003654265880774
industry_115.7355399110364,0.004655182830919449
degree_125.45466252599789,0.003871902714473564
major_135.64897980108685,0.003767481219452547
degree_130.50564713935316,0.0036321373948550438
major_124.42309658509986,0.0024742876101791537
major_133.32204152249136,0.00131006559259426
major_127.9326641429281,0.001198410604662695
major_129.07208492569004,0.0010695015065659839
major_130.37243622667353,0.000710611460111395
companyId_116.19933865734964,0.0006734336194592372
companyId_115.80006267627702,0.0006728733486363886
companyId_115.77466799056721,0.0006724827530245359
companyId_115.34504872681546,0.0006703742723202651
companyId_116.358423620351,0.0006691453690047503
companyId_116.27987204415732,0.0006680456716595759
companyId_116.56179493607421,0.0006660828949781072
companyId_115.84711653355134,0.0006620864939036963
companyId_116.11302923387096,0.0006608390607094233
companyId_116.09206469070543,0.0006573532850949737
companyId_116.31594018453707,0.0006568244009320459
companyId_116.75922255610256,0.0006567056711139353
companyId_115.97437022183232,0.0006560729658341908
companyId_115.6594351973069,0.0006557444962698538
major_132.0756054948443,0.0006557016447657967
companyId_115.95352818106892,0.0006552271037271259
companyId_116.68089227693076,0.0006549211158583066
companyId_116.08707466189094,0.0006541127958259176
companyId_115.62370774402233,0.0006540001314912077
companyId_116.20764443326837,0.000652913997236501
companyId_116.29022180568572,0.0006528104079546923
companyId_115.94878450240567,0.0006518024142976135
companyId_115.79365976145637,0.0006517076671557003
companyId_116.04860935524653,0.0006515977336208304
companyId_115.87016058757625,0.0006505896367777039
companyId_116.17648916682458,0.0006501472761800944
companyId_115.58978531639231,0.0006497677602751721
companyId_116.2308078904385,0.0006497291935859008
companyId_116.40217597571004,0.0006496181240455871
companyId_116.0864854590382,0.0006490547405601678
companyId_115.59716738735351,0.0006487527463820038
companyId_115.62223914699162,0.0006487242241209112
companyId_116.45334000500375,0.0006484578787136207
companyId_116.26953545852082,0.0006478142200425676
companyId_116.44627529603409,0.0006463593055320686
companyId_116.2394702153035,0.0006461833487566584
companyId_116.22424858613459,0.000645989351114614
companyId_115.87245899563042,0.0006445173329645247
companyId_116.31860700290734,0.0006444984082677047
companyId_116.7904666708315,0.0006444400422411284
companyId_115.96361547299885,0.0006431857984036701
companyId_116.01961901145498,0.0006431392910906258
companyId_115.64927444794952,0.0006426385839570374
companyId_116.51554322466738,0.0006420994564843431
companyId_116.0198001131435,0.0006417676902867167
companyId_116.30349509680664,0.0006402650522127622
companyId_115.94320628086615,0.0006391507208894644
companyId_116.2364073675549,0.0006387851351000168
companyId_115.48403688138995,0.0006356335434923142
companyId_116.14699753741239,0.0006353598127721269
companyId_115.93419233186675,0.0006347243567856408
companyId_115.9061906570452,0.000633340155716873
companyId_115.7565484396541,0.000632947379214141
companyId_115.88850130018393,0.0006329355959331036
companyId_116.0437151625227,0.0006316765848466268
companyId_116.26127654227918,0.0006314886854234724
companyId_115.98964061900499,0.0006274630859905517
companyId_115.95968253968255,0.0006270990256880768
companyId_116.19938049181364,0.0006268417385967772
companyId_116.53915605994106,0.0006268204477832378
companyId_116.13486450966894,0.0006259558742819669
companyId_115.34235547667343,0.0006243780552008546
companyId_115.39354013431404,0.0006212908490918477
companyId_116.38745715373874,0.0006203817783267803
